date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:23:45	4746/4746	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cc7e755-128a%22	http://www.urbanui.com/celestial/template/js/maps.js	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/js/maps.js	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/pages/maps/vector-map.html)
11:23:45	57116/57116	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cc7e755-df1c%22	http://www.urbanui.com/celestial/template/vendors/jvectormap/jquery-jvectormap.min.js	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/vendors/jvectormap/jquery-jvectormap.min.js	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/pages/maps/vector-map.html)
11:23:46	5428/5428	---M--	200	added ('OK')	image/png	etag:%225cc7e755-1534%22	http://www.urbanui.com/celestial/template/vendors/lightgallery/img/vimeo-play.png	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/vendors/lightgallery/img/vimeo-play.png	(from http://www.urbanui.com/celestial/template/vendors/lightgallery/css/lightgallery.css)
11:23:48	17456/17456	---M--	200	added ('OK')	image/jpeg	etag:%225cc7e755-4430%22	http://www.urbanui.com/celestial/template/images/samples/300x300/7.jpg	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/images/samples/300x300/7.jpg	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/pages/samples/portfolio.html)
11:23:48	4526/4526	---M--	200	added ('OK')	image/png	etag:%225cc7e755-11ae%22	http://www.urbanui.com/celestial/template/vendors/lightgallery/img/video-play.png	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/vendors/lightgallery/img/video-play.png	(from http://www.urbanui.com/celestial/template/vendors/lightgallery/css/lightgallery.css)
11:23:49	5177/5177	---M--	200	added ('OK')	image/png	etag:%225cc7e755-1439%22	http://www.urbanui.com/celestial/template/vendors/lightgallery/img/youtube-play.png	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/vendors/lightgallery/img/youtube-play.png	(from http://www.urbanui.com/celestial/template/vendors/lightgallery/css/lightgallery.css)
11:23:50	4178/4178	---M--	200	added ('OK')	image/gif	etag:%225cc7e755-1052%22	http://www.urbanui.com/celestial/template/vendors/lightgallery/img/loading.gif	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/vendors/lightgallery/img/loading.gif	(from http://www.urbanui.com/celestial/template/vendors/lightgallery/css/lightgallery.css)
11:23:50	366608/366608	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cc7e755-59810%22	http://www.urbanui.com/celestial/template/vendors/ace-builds/src-min/ace.js	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/vendors/ace-builds/src-min/ace.js	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/pages/forms/code_editor.html)
11:23:52	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Jun%202019%2005:53:52%20GMT	http://www.urbanui.com/celestial/template/vendors/owl-carousel-2/owl.video.play.png	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/vendors/owl-carousel-2/owl.video.play.png	(from http://www.urbanui.com/celestial/template/vendors/owl-carousel-2/owl.carousel.min.css)
11:23:53	445792/445792	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cc7e755-6cd60%22	http://www.urbanui.com/celestial/template/vendors/datatables.net/jquery.dataTables.js	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/vendors/datatables.net/jquery.dataTables.js	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/pages/tables/data-table.html)
11:23:54	2404/2404	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cc7e755-964%22	http://www.urbanui.com/celestial/template/js/owl-carousel.js	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/js/owl-carousel.js	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/pages/ui-features/carousel.html)
11:23:56	16574/16574	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2240be-587b9499fdca4%22	http://www.urbanui.com/celestial/template/vendors/summernote/dist/font/summernote.eot?	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/vendors/summernote/dist/font/summernoted41d.eot	(from http://www.urbanui.com/celestial/template/vendors/summernote/dist/summernote-bs4.css)
11:23:58	78634/78634	---M--	200	added ('OK')	image/jpeg	etag:%225cc7e755-1332a%22	http://www.urbanui.com/celestial/template/images/lightbox/thumb-v-v-1.jpg	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/images/lightbox/thumb-v-v-1.jpg	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/pages/apps/gallery.html)
11:23:58	83895/83895	---M--	200	added ('OK')	image/jpeg	etag:%225cc7e755-147b7%22	http://www.urbanui.com/celestial/template/images/samples/1280x768/3.jpg	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/images/samples/1280x768/3.jpg	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/pages/apps/gallery.html)
11:23:59	1805/1805	---M--	200	added ('OK')	image/png	etag:%225cc7e755-70d%22	http://www.urbanui.com/celestial/template/vendors/jquery-asColorPicker/images/hue.png	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/vendors/jquery-asColorPicker/images/hue.png	(from http://www.urbanui.com/celestial/template/vendors/jquery-asColorPicker/css/asColorPicker.min.css)
